iter	MultiClass
0	1.79770421
1	1.561458586
2	1.394031987
3	1.263929279
4	1.158535268
5	1.069759921
6	0.9976411886
7	0.936207758
8	0.8812685343
9	0.8323388088
10	0.7907723456
11	0.7535254789
12	0.7180335709
13	0.687936524
14	0.6609496777
15	0.6331220137
16	0.6066569418
17	0.5831603519
18	0.5634891853
19	0.5442537156
20	0.5260294159
21	0.5090294436
22	0.49371749
23	0.4766935714
24	0.4641361693
25	0.4530129164
26	0.4400924138
27	0.4304517731
28	0.4188415029
29	0.4088138037
30	0.3998344664
31	0.3911049269
32	0.3827240969
33	0.3755769472
34	0.3696750386
35	0.3636021824
36	0.3572830594
37	0.3522416207
38	0.3472372987
39	0.3428271456
40	0.3373013421
41	0.3325972152
42	0.3285212834
43	0.3230739078
44	0.3208081791
45	0.3174926721
46	0.3136821543
47	0.3110458395
48	0.3084255212
49	0.3051135056
50	0.3021169126
51	0.2986127983
52	0.2949659906
53	0.2934197019
54	0.2905110749
55	0.2873374366
56	0.28480336
57	0.2815968863
58	0.2800086595
59	0.2776923177
60	0.2746611822
61	0.2726472671
62	0.2716731708
63	0.2701897403
64	0.2688375202
65	0.2664053809
66	0.2640040956
67	0.262945772
68	0.2603290322
69	0.2592734914
70	0.257734193
71	0.2556541187
72	0.2542457165
73	0.2510591572
74	0.2494494973
75	0.2482736118
76	0.2463497747
77	0.2448778944
78	0.2427388094
79	0.2413680718
80	0.2391796749
81	0.2383207973
82	0.2372914528
83	0.2359895465
84	0.2347811788
85	0.2328122864
86	0.2317947087
87	0.2303346351
88	0.2290005005
89	0.2282185045
90	0.2266630417
91	0.224754542
92	0.223283545
93	0.2212408089
94	0.2196596564
95	0.2192452127
96	0.2186141425
97	0.2177208656
98	0.2162415108
99	0.2152190053
100	0.2143563867
101	0.2130863912
102	0.2123022371
103	0.2110286485
104	0.2098655145
105	0.2084231942
106	0.2070960636
107	0.2053042011
108	0.2038591023
109	0.2024035178
110	0.2014475236
111	0.2008819351
112	0.1995085198
113	0.1984418813
114	0.1972515313
115	0.1958123865
116	0.1950257377
117	0.1939341915
118	0.1931057747
119	0.1920432156
120	0.1913145377
121	0.1901425961
122	0.1893808386
123	0.188687931
124	0.1876295363
125	0.1869445448
126	0.186506664
127	0.1855424968
128	0.1841469403
129	0.1834445838
130	0.1827741778
131	0.1813201334
132	0.1810801156
133	0.18023459
134	0.1793188144
135	0.1780532331
136	0.1771345648
137	0.1763127657
138	0.1751801022
139	0.1745079991
140	0.1733470619
141	0.1726971709
142	0.1718866321
143	0.1710693894
144	0.1704491523
145	0.1699058224
146	0.1689381074
147	0.1685072207
148	0.1676302073
149	0.1667981016
150	0.1658492761
151	0.165201982
152	0.1646010888
153	0.1638502522
154	0.163468085
155	0.1630183539
156	0.1621752322
157	0.1614635038
158	0.1610400009
159	0.1601068547
160	0.1596616343
161	0.1593151088
162	0.1589439874
163	0.1581244078
164	0.157745871
165	0.1570366418
166	0.1560966036
167	0.155469622
168	0.1550193044
169	0.1542365585
170	0.153689134
171	0.1533356213
172	0.1528071903
173	0.1523400147
174	0.1518360344
175	0.151549699
176	0.1511001448
177	0.1505998829
178	0.1502157376
179	0.1490160493
180	0.1483623348
181	0.1475984318
182	0.1469301093
183	0.1467089135
184	0.1459587088
185	0.1457397352
186	0.1454050948
187	0.1451126853
188	0.1442586383
189	0.1437050549
190	0.1429841965
191	0.1423490167
192	0.1419915813
193	0.1414546455
194	0.1409515741
195	0.1401434129
196	0.1395958461
197	0.1392251317
198	0.1385808317
199	0.1377894384
200	0.1372339172
201	0.1365606805
202	0.1361513981
203	0.1355092086
204	0.1349861469
205	0.1346711603
206	0.1343984725
207	0.1341983175
208	0.1338219744
209	0.1330211211
210	0.1327279716
211	0.1323634732
212	0.131671652
213	0.130873969
214	0.1303298152
215	0.1298767909
216	0.1293233251
217	0.1287325478
218	0.1283075984
219	0.12781556
220	0.1272873743
221	0.1268208395
222	0.1265889164
223	0.126038116
224	0.1254741536
225	0.1251633221
226	0.1248981986
227	0.1246093722
228	0.123987912
229	0.1235847785
230	0.1229599379
231	0.1225909654
232	0.1222301148
233	0.1218666335
234	0.1212609578
235	0.120909569
236	0.1205248157
237	0.1200463541
238	0.1196938686
239	0.1191735859
240	0.1185676025
241	0.1178477571
242	0.1174643766
243	0.1171317953
244	0.1169264646
245	0.1165605918
246	0.1163515916
247	0.1160154524
248	0.1156356282
249	0.115038878
250	0.1147354789
251	0.1143691919
252	0.1140720936
253	0.1138593024
254	0.1135697547
255	0.1130819588
256	0.1129220736
257	0.1124217272
258	0.1118751578
