iter	Passed	Remaining
0	2852	2849696
1	6836	3411265
2	9737	3236228
3	14212	3538981
4	18361	3653927
5	21698	3594665
6	24171	3428936
7	27638	3427199
8	30159	3320845
9	34796	3444878
10	40125	3607665
11	43518	3583012
12	47804	3629446
13	50844	3580917
14	54616	3586486
15	58984	3627533
16	62230	3598358
17	65092	3551170
18	68790	3551765
19	71443	3500733
20	74690	3482016
21	77610	3450129
22	80659	3426296
23	84728	3445642
24	88576	3454474
25	91281	3419539
26	94917	3420549
27	98349	3414143
28	101996	3415111
29	105740	3418938
30	108745	3399170
31	112753	3410787
32	116806	3422791
33	120345	3419232
34	123795	3413215
35	127994	3427396
36	131462	3421579
37	135920	3440934
38	140304	3457248
39	143070	3433692
40	146127	3417969
41	149855	3418128
42	152683	3398104
43	156349	3397057
44	159143	3377373
45	163046	3381443
46	167281	3391893
47	170746	3386475
48	173216	3361808
49	176757	3358386
50	179361	3337527
51	182741	3331523
52	186948	3340390
53	190275	3333353
54	192677	3310557
55	196292	3308923
56	199917	3307410
57	204106	3314976
58	209130	3335455
59	212973	3336579
60	215931	3323921
61	219679	3323541
62	222289	3306120
63	226077	3306390
64	230214	3311540
65	233618	3306056
66	236275	3290228
67	239959	3288862
68	242638	3273861
69	246342	3272831
70	249591	3265776
71	252551	3255114
72	255830	3248700
73	258288	3232100
74	261998	3231311
75	265844	3232109
76	269216	3227103
77	271719	3211865
78	275731	3214536
79	278247	3199844
80	281498	3193792
81	285077	3191473
82	287766	3179303
83	291269	3176229
84	293786	3162521
85	297385	3160590
86	302455	3174045
87	307008	3181725
88	311055	3183953
89	315096	3185974
90	319242	3188912
91	322365	3181604
92	325643	3175900
93	329128	3172243
94	331757	3160422
95	335808	3162192
96	339569	3161144
97	342541	3152776
98	345014	3139980
99	348610	3137497
100	351417	3127967
101	354804	3123675
102	358266	3120046
103	361252	3112328
104	364795	3109447
105	367422	3098826
106	371147	3097517
107	375466	3101074
108	379853	3105037
109	383372	3101835
110	387532	3103750
111	391707	3105683
112	394875	3099595
113	397814	3091785
114	401973	3093447
115	405928	3093453
116	409195	3088199
117	412089	3080193
118	416372	3082555
119	419580	3076925
120	423097	3073575
121	426252	3067617
122	429851	3064878
123	433027	3059126
124	436932	3058525
125	440818	3057742
126	443442	3048230
127	445971	3038180
